Rank,Team,Points
173–182,YARMA BAŞKAN,12.00
183,Corvo,10.00
184,PRIME EM XOS,9.80
185–191,Esperion Esports,8.80
185–191,Limitless eSports,8.80
185–191,Mythical Woods,8.80
185–191,NEXT GEN UNITED,8.80
185–191,Onyx,8.80
185–191,Team Solaris,8.80
185–191,Team Villain,8.80
192–199,CAA,8.00
192–199,Dethrone,8.00
192–199,ludomaniacs,8.00
192–199,Royal Lions,8.00
192–199,TT,8.00
192–199,Unemployed Reitred FC,8.00
192–199,Vorpal sword,8.00
192–199,YOSHI,8.00
200–216,5 randoms,4.00
200–216,African Ducks,4.00
200–216,BAM Team,4.00
200–216,CLOUDS,4.00
200–216,Dual Esports,4.00
200–216,FC Origan,4.00
200–216,Feather 5,4.00
200–216,Ice Dragon,4.00
200–216,Kurai,4.00
200–216,Monarchy Esport,4.00
200–216,Oro Team,4.00
200–216,Phoenix,4.00
200–216,REFLEX FC,4.00
200–216,RΛCCΘΘN HUNTΞRS,4.00
200–216,Shikaku,4.00
200–216,Super secret team,4.00
200–216,THE VOID,4.00
217–220,Blaze Esports,1.00
217–220,DeglingOwls,1.00
217–220,JustWatch,1.00
217–220,Rain-T FC,1.00
221–225,SANGUINE,0.00
221–225,The lions,0.00
221–225,TydaLStride,0.00
221–225,Zitoune FC,0.00
221–225,ZXC TEAM,0.00
